user_id,car_type,service_type,booking_day_of_week,booking_hour,lead_time_days,previous_missed_appointments,no_show,payment_method,first_time_user,discount_applied,distance_to_station_km,preferred_time_slot,device_used,referral_source,booking_channel,service_duration_minutes,rating_previous_service,wait_time_last_booking_min,account_age_days,cancellation_count
user_0,sedan,brake_repair,Tuesday,13.0,14.0,1.0,1,cash,0,SUMMER20,0.56,morning,tablet,friend,whatsapp,90.0,,1.0,743.0,0.0
user_1,suv,oil_change,Sunday,7.0,25.0,0.0,0,card,yes,,9.4,morning,,instagram,mobile_app,,3.8,13.0,,1.0
user_2,truck,oil_change,Saturday,14.0,,3.0,0,transfer,yes,NEW10,,morning,mobile,,web,45.0,4.6,15.0,490.0,1.0
user_3,sedan,oil_change,Friday,18.0,22.0,4.0,0,,0,NEW10,28.13,morning,,,web,44.0,1.9,2.0,723.0,5.0
user_4,truck,brake_repair,Tuesday,14.0,20.0,5.0,0,transfer,0,,8.94,afternoon,tablet,google,,66.0,3.0,60.0,320.0,
user_5,suv,tire_rotation,,14.0,10.0,4.0,0,wallet,yes,,12.66,afternoon,desktop,friend,whatsapp,59.0,,41.0,159.0,2.0
user_6,suv,brake_repair,Wednesday,7.0,,2.0,1,wallet,yes,NEW10,12.42,evening,mobile,friend,mobile_app,78.0,3.3,29.0,26.0,5.0
user_7,sedan,brake_repair,Friday,19.0,29.0,1.0,0,cash,no,SUMMER20,16.13,morning,tablet,friend,,,1.3,21.0,505.0,0.0
user_8,truck,oil_change,Wednesday,10.0,10.0,,0,transfer,,LOYALTY15,4.96,afternoon,desktop,twitter,web,100.0,2.2,14.0,364.0,
user_9,suv,oil_change,,19.0,,5.0,1,transfer,1,LOYALTY15,9.56,evening,desktop,google,,,,4.0,674.0,1.0
user_10,sedan,brake_repair,Wednesday,9.0,19.0,2.0,0,wallet,1,NEW10,1.97,evening,mobile,twitter,mobile_app,107.0,1.8,59.0,656.0,0.0
user_11,truck,engine_diagnostics,Sunday,14.0,17.0,0.0,0,cash,yes,SUMMER20,,morning,desktop,friend,mobile_app,109.0,4.0,20.0,868.0,4.0
user_12,suv,brake_repair,Wednesday,10.0,25.0,1.0,0,transfer,0,LOYALTY15,26.55,morning,,friend,mobile_app,58.0,,2.0,983.0,4.0
user_13,truck,,Wednesday,,20.0,,0,cash,no,SUMMER20,24.04,evening,mobile,,mobile_app,50.0,2.4,56.0,568.0,5.0
user_14,sedan,,,8.0,28.0,0.0,1,card,1,SUMMER20,7.54,evening,tablet,friend,mobile_app,86.0,4.1,47.0,518.0,3.0
user_15,truck,tire_rotation,,14.0,30.0,4.0,1,wallet,1,LOYALTY15,0.89,,desktop,google,mobile_app,108.0,3.7,28.0,724.0,5.0
user_16,truck,engine_diagnostics,Saturday,13.0,24.0,3.0,0,wallet,1,SUMMER20,2.36,morning,tablet,google,mobile_app,70.0,1.1,22.0,956.0,3.0
user_17,truck,,Tuesday,,6.0,5.0,1,,no,SUMMER20,,morning,mobile,,whatsapp,111.0,,8.0,511.0,2.0
user_18,truck,oil_change,Monday,,10.0,2.0,1,cash,0,LOYALTY15,,morning,desktop,,whatsapp,39.0,4.9,8.0,799.0,4.0
user_19,,,Monday,15.0,11.0,0.0,0,cash,,SUMMER20,,,mobile,,whatsapp,67.0,5.0,53.0,105.0,0.0
user_20,suv,brake_repair,Tuesday,17.0,30.0,2.0,1,transfer,1,,12.61,afternoon,tablet,instagram,mobile_app,38.0,,52.0,94.0,
user_21,,tire_rotation,Tuesday,13.0,,,0,wallet,yes,,3.99,morning,,instagram,mobile_app,34.0,1.1,29.0,649.0,1.0
user_22,sedan,engine_diagnostics,Wednesday,12.0,26.0,3.0,0,transfer,0,,2.55,morning,tablet,instagram,mobile_app,42.0,,14.0,627.0,2.0
user_23,,,Saturday,invalid,12.0,5.0,0,card,1,NEW10,2.41,afternoon,tablet,instagram,mobile_app,112.0,,,327.0,0.0
user_24,sedan,brake_repair,Friday,19.0,3.0,1.0,1,wallet,1,NEW10,,evening,desktop,google,whatsapp,61.0,3.8,,941.0,0.0
user_25,sedan,brake_repair,Thursday,13.0,13.0,3.0,1,wallet,0,,10.03,morning,desktop,,whatsapp,51.0,2.7,17.0,,4.0
user_26,suv,brake_repair,,6.0,0.0,3.0,1,wallet,1,SUMMER20,26.25,morning,tablet,google,whatsapp,,,49.0,143.0,5.0
